epoch,L_contrast,L_recon,L_total,lr
1,0.7841790685084014,44.5157198483965,23.04203899270665,0.0009990232305719944
2,0.30870637113014154,10.552269939827708,5.584841341043996,0.0009960967771506664
3,0.26096188969316736,9.70701572958347,5.114469754484902,0.0009912321891107007
4,0.24243963147159173,7.413804917208917,3.94934209007605,0.0009844486647586721
5,0.23488341172975777,5.3698135508900195,2.9197901871747676,0.0009757729755661009
6,0.22320153755424296,5.030157754906511,2.738280415007498,0.0009652393605146842
7,0.21782268517840225,4.648983565051998,2.5423144677044016,0.0009528893909706795
8,0.21490761354170015,4.388449322860853,2.409132274972127,0.0009387718066217122
9,0.2107760656328328,4.222016604600754,2.32178436793321,0.0009229423231234972
10,0.20926008472400429,4.211277849906314,2.3148990096771613,0.0009054634122155987
11,0.2033967662569696,4.086235884016594,2.246514708265267,0.0008864040551740153
12,0.20364110791577703,3.8138947444679463,2.11058848014975,0.0008658394705735984
13,0.19603084146448996,3.490563221737347,1.9413124523331635,0.0008438508174347006
14,0.19899382745533917,3.296774190084069,1.8473809224973736,0.000820524874925601
15,0.19457199002525447,3.0746492210742646,1.7318966005623868,0.000795953699884774
16,0.19871147511015952,2.903021509668468,1.6502222299443936,0.000770234263514603
17,0.18962548837988777,2.8028532667497617,1.5910521217547686,0.0007434680686803488
18,0.1897863586787629,2.769316007605696,1.574444362481611,0.0007157607493247108
19,0.18783494256502759,2.6601572849054254,1.5179135850177403,0.0006872216535789154
20,0.188254847595122,2.520278945433355,1.4483943203117995,0.0006579634122155987
21,0.18500706283128368,2.419394550597773,1.3947043381301703,0.0006281014941466028
22,0.18081738928382377,2.3310462146733713,1.3463404966205095,0.0005977537507199335
23,0.1751786435468007,2.316005546434791,1.3331814167641962,0.0005670399506143305
24,0.175919995503088,2.250628226626236,1.3012341088162058,0.0005360813071670099
25,0.17168765670034739,2.28630781279201,1.3148415630963524,0.0005049999999999998
26,0.17466035894060558,2.1824642493661526,1.2658924836236818,0.0004739186928329897
27,0.1708832358100773,2.1306653766505486,1.2362159241353516,0.0004429600493856692
28,0.1632497909651921,2.0344686012352464,1.1804840915828154,0.0004122462492800661
29,0.1663099987580713,2.110361182584172,1.2214905900501574,0.0003818985058533967
30,0.16470599978898479,1.9935300608651827,1.161471030221576,0.00035203658778440103
31,0.16456519449706628,1.957675733924967,1.1434030614595498,0.00032277834642108444
32,0.16232701173398348,1.944083711214825,1.134368867341396,0.0002942392506752889
33,0.16110177120539995,1.9359448554769028,1.1290741989438513,0.00026653193131965077
34,0.155211374625168,1.972810138379578,1.141616443814957,0.00023976573648539642
35,0.15295819588730822,1.9451672975468424,1.1255418446607295,0.00021404630011522574
36,0.1517590111929231,1.9143638389300457,1.1089409306579459,0.00018947512507439847
37,0.15229087438335462,1.8736326515147117,1.0891072001407105,0.000166149182565299
38,0.14979389276915947,1.9307354790183295,1.1151616322783242,0.00014416052942640132
39,0.1565184851003959,1.9318952291412692,1.1224660996710305,0.00012359594482598432
40,0.15057916481014902,1.8282362518057358,1.064697290713017,0.00010453658778440102
41,0.14731950959009407,1.8498799373618269,1.0722594782710075,8.70576768765026e-05
42,0.14370889193584432,1.8294213282323517,1.0584195560520202,7.12281933782875e-05
43,0.14713124551736148,1.8524040901555425,1.0733332905951327,5.71106090293204e-05
44,0.14934080258934898,1.8697739407024552,1.0842277729405765,4.4760639485315563e-05
45,0.15047189662546184,1.818241386814455,1.0595925900326892,3.422702443389899e-05
46,0.14464446767109684,1.8559452005192243,1.072617067930709,2.5551335241327665e-05
47,0.14247043120913802,1.8658226501625197,1.0753817562903978,1.876781088929908e-05
48,0.14212843495528255,1.771991147931698,1.0281240089211316,1.3903222849333505e-05
49,0.1445166450818028,1.8893077895704624,1.089170539867034,1.0976769428005579e-05
50,0.14546789288257075,1.8781069527685115,1.0845213692668265,1e-05
