phase,epoch,tr_loss,tr_f1,tr_auc_pr,va_loss,va_f1,va_auc_pr
B,1,0.7907404691362993,0.2679862961553102,0.38964672104261844,0.7882849176724752,0.03938115330520394,0.08241191828547687
B,2,0.49224236091742146,0.48854961832061067,0.7650134378596694,0.9320126871267954,0.0,0.06980480281431144
B,3,0.48107927655562377,0.5782383419689119,0.8497419710140348,0.8851401164676204,0.0,0.07083763595299894
B,4,0.43301507123769856,0.6911624960405448,0.9048739224026678,1.0114006499449413,0.010834236186348862,0.07092551922591009
B,5,0.4337929647702437,0.7619909502262443,0.9296947545124481,0.8158857280557806,0.002859866539561487,0.06394805327907592
B,6,0.41458551814922917,0.7791666666666667,0.9447615799112784,1.0793203476703528,0.06537785588752197,0.06889273874632473
B,7,0.4126270094361061,0.800702370500439,0.9568404943712768,1.2260435774470821,0.080773606370876,0.06669346233324516
B,8,0.44093506859663206,0.7846747846747847,0.949726235780013,0.9916324362610326,0.24324324324324326,0.08882027692855636
B,9,0.42036419610182446,0.7810826888756692,0.951103666522597,1.3400099015597142,0.22269465851714057,0.16110915910198764
B,10,0.4126144156624109,0.803408756979136,0.9602705535222174,0.923980505177469,0.05993690851735016,0.07499787002798547
B,11,0.40516520922000593,0.8183135323094756,0.9674446554485029,1.121734849431298,0.18648905803996194,0.0794657659894477
B,12,0.40683765403735334,0.8257990210192917,0.9684133977278495,0.7938255496097334,0.004181913225300575,0.0738118543048294
B,13,0.4047126561785356,0.8256986459233651,0.9711080096604773,0.904710877122301,0.08122270742358079,0.08703866629565282
B,14,0.4082120744845806,0.8167388167388168,0.9664054194815886,1.2174768176945774,0.213228631833283,0.08577773775185173
B,15,0.40154362985721004,0.8282596209075244,0.9749544050535796,0.957795360774705,0.0639269406392694,0.07102181724960098
B,16,0.40500277510056126,0.8371827773025378,0.9731840530145716,1.110106930588231,0.08631649381063901,0.0792981083886406
B,17,0.39958336586371446,0.8423436173223889,0.9766820652996719,1.1223188223260823,0.08902077151335312,0.07334787112267292
B,18,0.40389960278303194,0.835573348584501,0.976171644092092,0.9804065453283715,0.06649616368286446,0.06916942622322754
B,19,0.4008675546218187,0.8463702870005627,0.975380752849594,0.9463083084785577,0.06390532544378698,0.07142184636251461
B,20,0.4004221562391672,0.845150311968236,0.9778432661832589,1.0005666171059464,0.06834397296282388,0.07424009252082803
B,21,0.39894228103833324,0.8544995794785534,0.981442857684161,1.0446448416420908,0.06909361069836553,0.07422825532633355
B,22,0.39824591997342235,0.8639910813823858,0.9824541359177426,0.9843050467245507,0.0719370550768078,0.0746398984691919
B,23,0.3985314821967712,0.8572225320691579,0.9806593672152124,1.0243642700440956,0.06566946369937979,0.07747679677732495
B,24,0.3977668459216754,0.8696374204262386,0.983239088349184,0.9813378281665571,0.06812291743798593,0.07587337712158544
B,25,0.39842571451877934,0.8638002773925104,0.9815917133791697,1.0772460121096987,0.08732099196646874,0.0777140412485463
B,26,0.40028105217676896,0.8662983425414365,0.9818037313561521,0.9317121279962135,0.06757281553398058,0.07160614574025888
B,27,0.3975904696644881,0.8641562064156206,0.9828851613994962,1.0599097031535525,0.07755247242974031,0.07730831072446226
B,28,0.39680670278194624,0.8800439198462805,0.9857179979072457,1.0632205569382869,0.09938733832539143,0.07836629818672672
B,29,0.3971663698171958,0.870190977027401,0.9833284261184765,1.1394019334605245,0.13093709884467267,0.08191794734908829
B,30,0.39658992355450606,0.88,0.9870212324075328,0.9792546277696436,0.06834397296282388,0.07504925100154972
C,31,0.38768647362788516,0.8635607321131448,0.9816549437356892,1.1906656062964238,0.17466517857142858,0.08784495001084243
C,32,0.3064763897504562,0.8657625242181013,0.9793969523998094,0.8531300502293038,0.07222222222222222,0.07264365127045042
C,33,0.2566041336036645,0.8644444444444445,0.9808171296078955,1.0896731041597598,0.19745845552297164,0.0889864183751077
C,34,0.22626882447646215,0.8647746243739566,0.9821070861201753,1.0170632040861882,0.09838321293429653,0.08107486484149007
C,35,0.20838768273974076,0.8706920319823546,0.9806482005934208,1.1343180690750931,0.2252541466024612,0.10553670690739803
